cve_id,published,cvss,description,url,source
CVE-2025-55133,2025-08-07T16:15:30.800,6.4,"In Agora Foundation Agora fall23-Alpha1 before b087490, there is XSS via topicName in client/agora/public/js/editorManager.js.",https://nvd.nist.gov/vuln/detail/CVE-2025-55133,keyword
CVE-2025-55134,2025-08-07T16:15:30.973,6.4,"In Agora Foundation Agora fall23-Alpha1 before b087490, there is XSS via tag in client/agora/public/js/editorManager.js.",https://nvd.nist.gov/vuln/detail/CVE-2025-55134,keyword
CVE-2025-55135,2025-08-07T16:15:31.143,6.4,"In Agora Foundation Agora fall23-Alpha1 before 690ce56, there is XSS via a profile picture to server/controller/userController.js. Formats other than PNG, JPEG, and WEBP are permitted by server/routes/userRoutes.js; this includes SVG.",https://nvd.nist.gov/vuln/detail/CVE-2025-55135,keyword
CVE-2025-54392,2025-08-07T17:15:29.343,6.1,"Netwrix Directory Manager (formerly Imanami GroupID) 11.0.0.0 before 11.1.25162.02 allows XSS for authentication error data, a different vulnerability than CVE-2025-47189.",https://nvd.nist.gov/vuln/detail/CVE-2025-54392,keyword
CVE-2025-54395,2025-08-07T17:15:29.750,6.1,Netwrix Directory Manager (formerly Imanami GroupID) 11.0.0.0 before 11.1.25162.02 allows XSS for authentication configuration data.,https://nvd.nist.gov/vuln/detail/CVE-2025-54395,keyword
CVE-2020-9322,2025-08-08T15:15:27.067,8.8,The /users endpoint in Statamic Core before 2.11.8 allows XSS to add an administrator user. This can be exploited via CSRF. Stored XSS can occur via a JavaScript payload in a username during account registration. Reflected XSS can occur via the /users PATH_INFO.,https://nvd.nist.gov/vuln/detail/CVE-2020-9322,keyword
CVE-2025-32932,2025-08-12T19:15:29.260,6.5,"An Improper neutralization of input during web page generation ('cross-site scripting') vulnerability [CWE-79] in FortiSOAR version 7.6.1 and below, version 7.5.1 and below, 7.4 all versions, 7.3 all versions, 7.2 all versions, 7.0 all versions, 6.4 all versions WEB UI may allow an authenticated remote attacker to perform an XSS attack via stored malicious service requests",https://nvd.nist.gov/vuln/detail/CVE-2025-32932,keyword
CVE-2025-28975,2025-08-14T11:15:31.393,7.1,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in redqteam Alike - WordPress Custom Post Comparison allows Reflected XSS. This issue affects Alike - WordPress Custom Post Comparison: from n/a through 3.0.1.,https://nvd.nist.gov/vuln/detail/CVE-2025-28975,keyword
CVE-2025-28999,2025-08-14T11:15:31.990,7.1,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in ZoomIt WooCommerce Shop Page Builder allows Reflected XSS. This issue affects WooCommerce Shop Page Builder: from n/a through 2.27.7.,https://nvd.nist.gov/vuln/detail/CVE-2025-28999,keyword
CVE-2025-29014,2025-08-14T11:15:32.180,7.1,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in ZoomIt FoodMenu allows Reflected XSS. This issue affects FoodMenu: from n/a through 1.20.,https://nvd.nist.gov/vuln/detail/CVE-2025-29014,keyword
CVE-2025-30626,2025-08-14T11:15:32.367,7.1,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in LambertGroup Multimedia Playlist Slider Addon for WPBakery Page Builder allows Reflected XSS. This issue affects Multimedia Playlist Slider Addon for WPBakery Page Builder: from n/a through 2.1.,https://nvd.nist.gov/vuln/detail/CVE-2025-30626,keyword
CVE-2025-31007,2025-08-14T11:15:33.367,7.1,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Alvind Billplz Addon for Contact Form 7 allows Reflected XSS. This issue affects Billplz Addon for Contact Form 7: from n/a through 1.2.0.,https://nvd.nist.gov/vuln/detail/CVE-2025-31007,keyword
